nesting,A_id,A_name,relationship,B_id,B_name,remark
1,A.Primates,3 matches follow:,,
1,,by topology,B.Strepsirrhini,
1,,by topology,B.Haplorrhini,
1,,by topology,B.Primates,
2,A.unclassified_Primates,unique by topology,B.unclassified_Primates,
3,A.Japanese_monkeys,unique accepted/synonym,B.Japanese_monkeys,synonym of B.Macaca_fuscata Macaca fuscata
3,A.marmosets,unique accepted/accepted,B.marmosets,
3,A.unidentified_monkey,unique accepted/accepted,B.unidentified_monkey,
3,A.Primates_sp._BOLD:AAA0001,unique accepted/accepted,B.Primates_sp._BOLD:AAA0001,
3,A.Primates_sp._BOLD:AAC9009,unique accepted/accepted,B.Primates_sp._BOLD:AAC9009,
3,A.Primates_sp._BOLD:AAE4744,unique accepted/accepted,B.Primates_sp._BOLD:AAE4744,
3,A.Primates_sp._BOLD:AAJ7304,unique accepted/accepted,B.Primates_sp._BOLD:AAJ7304,
3,A.Primates_sp._BOLD:AAO0053,unique accepted/accepted,B.Primates_sp._BOLD:AAO0053,
3,A.Primates_sp._BOLD:AAC7735,unique accepted/accepted,B.Primates_sp._BOLD:AAC7735,
3,A.Primates_sp._BOLD:AAD0215,unique accepted/accepted,B.Primates_sp._BOLD:AAD0215,
3,A.Primates_sp._BOLD:AAF0367,unique accepted/accepted,B.Primates_sp._BOLD:AAF0367,
2,A.Strepsirrhini,3 matches follow:,,
2,,by topology,B.Lemuriformes,
2,,by topology,B.Lorisiformes,
2,,synonym/synonym,B.Strepsirhini,synonym of B.Strepsirrhini Strepsirrhini
3,A.Lemuriformes,5 matches follow:,,
3,,by topology,B.Lemuridae,
3,,by topology,B.Indriidae,
3,,by topology,B.Lepilemuridae,
3,,by topology,B.Cheirogaleidae,
3,,by topology,B.Paleopropithecidae,
4,A.Lemuridae,2 matches follow:,,
4,,by topology,B.Lemur,
4,,synonym/synonym,B.lemurs,synonym of B.Lemuridae Lemuridae
5,A.Lemur,unique by topology,B.unclassified_Lemur,
6,A.Lemur_catta,unique accepted/accepted,B.Lemur_catta,
6,A.Lemur_sp.,unique accepted/accepted,B.Lemur_sp.,
5,A.Varecia,unique by topology,B.Varecia,
6,A.Varecia_variegata,unique by topology,B.Varecia_variegata,
7,A.Varecia_variegata_variegata,unique accepted/accepted,B.Varecia_variegata_variegata,
6,A.Varecia_rubra,unique accepted/accepted,B.Varecia_rubra,
5,A.Eulemur,unique by topology,B.Eulemur,
6,A.Eulemur_coronatus,unique accepted/accepted,B.Eulemur_coronatus,
6,A.Eulemur_fulvus,unique by topology,B.Eulemur_fulvus,
7,A.Eulemur_fulvus_mayottensis,unique accepted/accepted,B.Eulemur_fulvus_mayottensis,
7,A.Eulemur_fulvus_fulvus,unique accepted/accepted,B.Eulemur_fulvus_fulvus,
7,A.Eulemur_fulvus_collaris,unique accepted/accepted,B.Eulemur_fulvus_collaris,
7,A.Eulemur_fulvus_albocollaris,unique accepted/accepted,B.Eulemur_fulvus_albocollaris,
6,A.Eulemur_macaco,unique by topology,B.Eulemur_macaco,
7,A.Eulemur_macaco_macaco,unique accepted/accepted,B.Eulemur_macaco_macaco,
6,A.Eulemur_mongoz,unique accepted/accepted,B.Eulemur_mongoz,
6,A.Eulemur_rubriventer,unique accepted/accepted,B.Eulemur_rubriventer,
6,A.Eulemur_flavifrons,unique accepted/accepted,B.Eulemur_flavifrons,
6,A.Eulemur_sanfordi,unique accepted/accepted,B.Eulemur_sanfordi,
6,A.Eulemur_cinereiceps,unique accepted/accepted,B.Eulemur_cinereiceps,
6,A.Eulemur_rufus,unique accepted/accepted,B.Eulemur_rufus,
6,A.Eulemur_rufifrons,unique accepted/accepted,B.Eulemur_rufifrons,
6,A.Eulemur_albifrons,unique accepted/accepted,B.Eulemur_albifrons,
6,A.Eulemur_hybrids,no match in B,,
7,A.Eulemur_albifrons_x_rufifrons,unique accepted/accepted,B.Eulemur_albifrons_x_rufifrons,
7,A.Eulemur_albifrons_x_cinereiceps,unique accepted/accepted,B.Eulemur_albifrons_x_cinereiceps,
7,A.Eulemur_cinereiceps_x_rufifrons,unique accepted/accepted,B.Eulemur_cinereiceps_x_rufifrons,
5,A.Hapalemur,unique by topology,B.Hapalemur,
6,A.Hapalemur_griseus,unique by topology,B.Hapalemur_griseus,
7,A.Hapalemur_griseus_griseus,unique accepted/accepted,B.Hapalemur_griseus_griseus,
7,A.Hapalemur_griseus_alaotrensis,unique accepted/accepted,B.Hapalemur_griseus_alaotrensis,
7,A.Hapalemur_griseus_occidentalis,unique accepted/accepted,B.Hapalemur_griseus_occidentalis,
7,A.Hapalemur_griseus_meridionalis,unique accepted/accepted,B.Hapalemur_griseus_meridionalis,
7,A.Hapalemur_griseus_JF2002,unique accepted/accepted,B.Hapalemur_griseus_JF2002,
6,A.Hapalemur_aureus,unique accepted/accepted,B.Hapalemur_aureus,
6,A.Hapalemur_occidentalis,unique accepted/accepted,B.Hapalemur_occidentalis,
5,A.Prolemur,unique by topology,B.Prolemur,
6,A.Prolemur_simus,unique accepted/accepted,B.Prolemur_simus,
4,A.Indriidae,2 matches follow:,,
4,,by topology,B.Propithecus,
4,,synonym/synonym,B.Indridae,synonym of B.Indriidae Indriidae
5,A.Propithecus,2 matches follow:,,
5,,by topology,B.unclassified_Propithecus,
5,,synonym/synonym,B.sifakas,synonym of B.Propithecus Propithecus
6,A.Propithecus_tattersalli,unique accepted/accepted,B.Propithecus_tattersalli,
6,A.Propithecus_verreauxi,unique by topology,B.Propithecus_verreauxi,
7,A.Propithecus_verreauxi_verreauxi,unique accepted/accepted,B.Propithecus_verreauxi_verreauxi,
6,A.Propithecus_sp.,unique accepted/accepted,B.Propithecus_sp.,
6,A.Propithecus_diadema,unique by topology,B.Propithecus_diadema,
7,A.Propithecus_diadema_diadema,unique accepted/accepted,B.Propithecus_diadema_diadema,
7,A.Propithecus_diadema_marshi,unique accepted/accepted,B.Propithecus_diadema_marshi,
