tag,A name,A id,rcc5,B id,B name,justification
______________NO CHANGE,Sapajus nigritus,A.867366,=,B.867366,Sapajus nigritus,{same-name & same-rank}
________________...,,,,,,1 unchanged children
______________NO CHANGE,Sapajus flavius,A.1112861,=,B.1112861,Sapajus flavius,{same-name & same-rank}
______________NO CHANGE,Sapajus libidinosus,A.1126382,=,B.1126382,Sapajus libidinosus,{same-name & same-rank}
______________GRAFT,,,,B.2619504,unclassified Sapajus,
__________NO CHANGE,unclassified Cebidae,A.38071,=,B.38071,unclassified Cebidae,{same-name & same-rank}
____________...,,,,,,1 unchanged children
__________NO CHANGE,Saimiriinae,A.378850,=,B.378850,Saimiriinae,{same-name & same-rank}
____________NO CHANGE,Saimiri,A.9520,=,B.9520,Saimiri,{same-name & same-rank}
______________NO CHANGE,Saimiri sciureus,A.9521,=,B.9521,Saimiri sciureus,{same-name & same-rank}
________________...,,,,,,5 unchanged children
______________NO CHANGE,Saimiri boliviensis,A.27679,=,B.27679,Saimiri boliviensis,{same-name & same-rank}
________________...,,,,,,2 unchanged children
______________NO CHANGE,Saimiri ustus,A.66265,=,B.66265,Saimiri ustus,{same-name & same-rank}
______________NO CHANGE,Saimiri oerstedii,A.70928,=,B.70928,Saimiri oerstedii,{same-name & same-rank}
________________...,,,,,,2 unchanged children
______________NO CHANGE,Saimiri vanzolinii,A.1561161,=,B.1561161,Saimiri vanzolinii,{same-name & same-rank}
______________GRAFT,,,,B.2635411,unclassified Saimiri,
______________MOVE,Saimiri sp. MAS-2011,A.1090919,=,B.1090919,Saimiri sp. MAS-2011,{same-name & same-rank}
______________MOVE,Saimiri sp.,A.1561164,=,B.1561164,Saimiri sp.,{same-name & same-rank}
________NO CHANGE,Aotidae,A.376918,=,B.376918,Aotidae,{same-name & same-rank}
__________NO CHANGE,Aotus,A.9504,=,B.9504,Aotus,{same-name & same-rank}
____________NO CHANGE,Aotus trivirgatus,A.9505,=,B.9505,Aotus trivirgatus,{same-name & same-rank}
____________NO CHANGE,Aotus azarai,A.30591,=,B.30591,Aotus azarai,{same-name & same-rank}
______________...,,,,,,3 unchanged children
____________NO CHANGE,Aotus nancymaae,A.37293,=,B.37293,Aotus nancymaae,{same-name & same-rank}
____________NO CHANGE,Aotus lemurinus,A.43147,=,B.43147,Aotus lemurinus,{same-name & same-rank}
____________NO CHANGE,Aotus nigriceps,A.57175,=,B.57175,Aotus nigriceps,{same-name & same-rank}
____________NO CHANGE,Aotus vociferans,A.57176,=,B.57176,Aotus vociferans,{same-name & same-rank}
____________NO CHANGE,Aotus griseimembra,A.292213,=,B.292213,Aotus griseimembra,{same-name & same-rank}
____________NO CHANGE,Aotus brumbacki,A.361674,=,B.361674,Aotus brumbacki,{same-name & same-rank}
____________NO CHANGE,Aotus zonalis,A.1263727,=,B.1263727,Aotus zonalis,{same-name & same-rank}
____________GRAFT,,,,B.2688256,unclassified Aotus (in: Chordata),
____________MOVE,Aotus sp. NIM-2003,A.222417,=,B.222417,Aotus sp. NIM-2003,{same-name & same-rank}
____________MOVE,Aotus sp.,A.231953,=,B.231953,Aotus sp.,{same-name & same-rank}
____________MOVE,Aotus sp. PDE-2004,A.261316,=,B.261316,Aotus sp. PDE-2004,{same-name & same-rank}
____________MOVE,Aotus sp. Aot1,A.413234,=,B.413234,Aotus sp. Aot1,{same-name & same-rank}
____________MOVE,Aotus sp. SHM-2010,A.940829,=,B.940829,Aotus sp. SHM-2010,{same-name & same-rank}
____________MOVE,Aotus sp. AVB-2011,A.1002694,=,B.1002694,Aotus sp. AVB-2011,{same-name & same-rank}
____________MOVE,Aotus sp. MAS-2011,A.1090913,=,B.1090913,Aotus sp. MAS-2011,{same-name & same-rank}
____________MOVE,Aotus sp. LC-2012,A.1230482,=,B.1230482,Aotus sp. LC-2012,{same-name & same-rank}
________NO CHANGE,Pitheciidae,A.376919,=,B.376919,Pitheciidae,{same-name & same-rank}
__________NO CHANGE,Pitheciinae,A.38039,=,B.38039,Pitheciinae,{same-name & same-rank}
____________NO CHANGE,Chiropotes,A.9524,=,B.9524,Chiropotes,{same-name & same-rank}
______________NO CHANGE,Chiropotes satanas,A.9525,=,B.9525,Chiropotes satanas,{same-name & same-rank}
______________NO CHANGE,Chiropotes albinasus,A.198627,=,B.198627,Chiropotes albinasus,{same-name & same-rank}
______________NO CHANGE,Chiropotes satanas x albinasus,A.202458,=,B.202458,Chiropotes satanas x albinasus,{same-name & same-rank}
______________CHANGE NAME,Chiropotes utahicki,A.280160,=,B.280160,Chiropotes utahickae,{same-id & same-rank ...}
______________NO CHANGE,Chiropotes israelita,A.280163,=,B.280163,Chiropotes israelita,{same-name & same-rank}
______________NO CHANGE,Chiropotes albinasus x satanas,A.626367,=,B.626367,Chiropotes albinasus x satanas,{same-name & same-rank}
______________NO CHANGE,Chiropotes chiropotes,A.658221,=,B.658221,Chiropotes chiropotes,{same-name & same-rank}
________________...,,,,,,1 unchanged children
______________GRAFT,,,,B.2649368,unclassified Chiropotes,
______________MOVE,Chiropotes sp. MAS-2011,A.1090917,=,B.1090917,Chiropotes sp. MAS-2011,{same-name & same-rank}
____________NO CHANGE,Cacajao,A.30595,=,B.30595,Cacajao,{same-name & same-rank}
______________...,,,,,,6 unchanged children
____________NO CHANGE,Pithecia,A.30597,=,B.30597,Pithecia,{same-name & same-rank}
______________NO CHANGE,Pithecia irrorata,A.30598,=,B.30598,Pithecia irrorata,{same-name & same-rank}
______________NO CHANGE,Pithecia pithecia,A.43777,=,B.43777,Pithecia pithecia,{same-name & same-rank}
________________...,,,,,,1 unchanged children
______________NO CHANGE,Pithecia monachus,A.595220,=,B.595220,Pithecia monachus,{same-name & same-rank}
______________GRAFT,,,,B.2646430,unclassified Pithecia,
__________NO CHANGE,Callicebinae,A.38069,=,B.38069,Callicebinae,{same-name & same-rank}
____________NO CHANGE,Callicebus,A.9522,=,B.9522,Callicebus,{same-name & same-rank}
______________NO CHANGE,Callicebus personatus,A.70814,=,B.70814,Callicebus personatus,{same-name & same-rank}
________________...,,,,,,2 unchanged children
______________NO CHANGE,Callicebus coimbrai,A.867333,=,B.867333,Callicebus coimbrai,{same-name & same-rank}
______________NO CHANGE,Callicebus nigrifrons,A.867334,=,B.867334,Callicebus nigrifrons,{same-name & same-rank}
______________GRAFT,,,,B.1290433,Callicebus dubius,
______________GRAFT,,,,B.1861701,Callicebus caquetensis,
______________GRAFT,,,,B.1861702,Callicebus ornatus,
______________GRAFT,,,,B.1861703,Callicebus discolor,
______________GRAFT,,,,B.2627897,unclassified Callicebus,
______________MOVE,Callicebus sp.,A.116962,=,B.116962,Callicebus sp.,{same-name & same-rank}
______________MOVE,Callicebus sp. MAS-2011,A.1090915,=,B.1090915,Callicebus sp. MAS-2011,{same-name & same-rank}
______________MOVE,Callicebus moloch,A.9523,=,B.9523,Plecturocebus moloch,{same-id & same-rank ...}
______________MOVE,Callicebus hoffmannsi,A.78255,=,B.78255,Plecturocebus hoffmannsi,{same-id & same-rank ...}
______________MOVE,Callicebus cupreus,A.202457,=,B.202457,Plecturocebus cupreus,{same-id & same-rank ...}
______________MOVE,Callicebus donacophilus,A.230833,=,B.230833,Plecturocebus donacophilus,{same-id & same-rank}
________________CHANGE NAME,Callicebus donacophilus donacophilus,A.285954,=,B.285954,Plecturocebus donacophilus donacophilus,{same-id & same-rank ...}
______________MOVE,Callicebus caligatus,A.867332,=,B.867332,Plecturocebus caligatus,{same-id & same-rank ...}
______________MOVE,Callicebus brunneus,A.221704,=,B.1812042,Plecturocebus brunneus,[{same-name & same-id} → synonym-of]
______________MOVE,Callicebus torquatus,A.30592,=,B.30592,Cheracebus torquatus,{same-id & same-rank ...}
______________MOVE,Callicebus lugens,A.210166,=,B.210166,Cheracebus lugens,{same-id & same-rank ...}
______________MOVE,Callicebus purinus,A.1560619,=,B.1560619,Cheracebus purinus,{same-id & same-rank ...}
____________GRAFT,,,,B.1812035,Plecturocebus,
____________GRAFT,,,,B.1812102,Cheracebus,
__________GRAFT,,,,B.2490929,Xenothricinae,
________NO CHANGE,Atelidae,A.378855,=,B.378855,Atelidae,{same-name & same-rank}
__________NO CHANGE,Alouattinae,A.38066,=,B.38066,Alouattinae,{same-name & same-rank}
____________NO CHANGE,Alouatta,A.9499,=,B.9499,Alouatta,{same-name & same-rank}
______________NO CHANGE,Alouatta caraya,A.9502,=,B.9502,Alouatta caraya,{same-name & same-rank}
______________NO CHANGE,Alouatta seniculus,A.9503,=,B.9503,Alouatta seniculus,{same-name & same-rank}
________________...,,,,,,2 unchanged children
______________NO CHANGE,Alouatta palliata,A.30589,=,B.30589,Alouatta palliata,{same-name & same-rank}
________________...,,,,,,5 unchanged children
______________NO CHANGE,Alouatta belzebul,A.30590,=,B.30590,Alouatta belzebul,{same-name & same-rank}
________________...,,,,,,1 unchanged children
______________NO CHANGE,Alouatta sara,A.121123,=,B.121123,Alouatta sara,{same-name & same-rank}
______________NO CHANGE,Alouatta stramineus,A.163110,=,B.163110,Alouatta stramineus,{same-name & same-rank}
______________NO CHANGE,Alouatta pigra,A.182253,=,B.182253,Alouatta pigra,{same-name & same-rank}
______________NO CHANGE,Alouatta guariba,A.182256,=,B.182256,Alouatta guariba,{same-name & same-rank}
________________...,,,,,,1 unchanged children
______________GRAFT,,,,B.2487933,Alouatta palliata x Alouatta pigra,
__________NO CHANGE,Atelinae,A.38068,=,B.38068,Atelinae,{same-name & same-rank}
____________NO CHANGE,Ateles,A.9506,=,B.9506,Ateles,{same-name & same-rank}
______________NO CHANGE,Ateles belzebuth,A.9507,=,B.9507,Ateles belzebuth,{same-name & same-rank}
________________...,,,,,,2 unchanged children
______________NO CHANGE,Ateles fusciceps,A.9508,=,B.9508,Ateles fusciceps,{same-name & same-rank}
________________...,,,,,,2 unchanged children
______________NO CHANGE,Ateles geoffroyi,A.9509,=,B.9509,Ateles geoffroyi,{same-name & same-rank}
________________...,,,,,,6 unchanged children
______________NO CHANGE,Ateles paniscus,A.9510,=,B.9510,Ateles paniscus,{same-name & same-rank}
______________NO CHANGE,Ateles paniscus x Ateles fusciceps,A.36234,=,B.36234,Ateles paniscus x Ateles fusciceps,{same-name & same-rank}
______________NO CHANGE,unclassified Ateles,A.120432,=,B.120432,unclassified Ateles,{same-name & same-rank}
________________NO CHANGE,Ateles sp. haplotype Abh9,A.119628,=,B.119628,Ateles sp. haplotype Abh9,{same-name & same-rank}
________________NO CHANGE,Ateles sp. haplotype Abh10,A.119629,=,B.119629,Ateles sp. haplotype Abh10,{same-name & same-rank}
________________NO CHANGE,Ateles sp. haplotype Abh11,A.119630,=,B.119630,Ateles sp. haplotype Abh11,{same-name & same-rank}
________________NO CHANGE,Ateles sp. haplotype Agsubspp. 16,A.119631,=,B.119631,Ateles sp. haplotype Agsubspp. 16,{same-name & same-rank}
________________NO CHANGE,Ateles sp. haplotype Afr19,A.119632,=,B.119632,Ateles sp. haplotype Afr19,{same-name & same-rank}
________________NO CHANGE,Ateles sp. haplotype Afr20,A.119633,=,B.119633,Ateles sp. haplotype Afr20,{same-name & same-rank}
________________NO CHANGE,Ateles sp. haplotype Afr21,A.119634,=,B.119634,Ateles sp. haplotype Afr21,{same-name & same-rank}
________________NO CHANGE,Ateles sp. haplotype Abh19,A.119638,=,B.119638,Ateles sp. haplotype Abh19,{same-name & same-rank}
________________NO CHANGE,Ateles sp. haplotype Agp13,A.119639,=,B.119639,Ateles sp. haplotype Agp13,{same-name & same-rank}
________________NO CHANGE,Ateles sp. haplotype Afr27,A.119640,=,B.119640,Ateles sp. haplotype Afr27,{same-name & same-rank}
________________NO CHANGE,Ateles sp. KO-2004,A.269772,=,B.269772,Ateles sp. KO-2004,{same-name & same-rank}
________________NO CHANGE,Ateles sp. JPV-2004,A.278713,=,B.278713,Ateles sp. JPV-2004,{same-name & same-rank}
________________GRAFT,,,,B.1967450,Ateles sp. EG-2017,
______________MOVE,Ateles sp.,A.9511,=,B.9511,Ateles sp.,{same-name & same-rank}
______________NO CHANGE,Ateles hybridus,A.129801,=,B.129801,Ateles hybridus,{same-name & same-rank}
________________...,,,,,,1 unchanged children
______________NO CHANGE,Ateles marginatus,A.1529884,=,B.1529884,Ateles marginatus,{same-name & same-rank}
____________NO CHANGE,Lagothrix,A.9518,=,B.9518,Lagothrix,{same-name & same-rank}
______________NO CHANGE,Lagothrix lagotricha,A.9519,=,B.9519,Lagothrix lagotricha,{same-name & same-rank}
______________NO CHANGE,Lagothrix lugens,A.767355,=,B.767355,Lagothrix lugens,{same-name & same-rank}
______________NO CHANGE,Lagothrix poeppigii,A.767356,=,B.767356,Lagothrix poeppigii,{same-name & same-rank}
______________NO CHANGE,Lagothrix cana,A.767357,=,B.767357,Lagothrix cana,{same-name & same-rank}
______________GRAFT,,,,B.2565305,Lagothrix flavicauda,
______________GRAFT,,,,B.2565306,Lagothrix tschudii,
______________GRAFT,,,,B.2645779,unclassified Lagothrix,
______________MOVE,Lagothrix sp. CCS-2009a,A.638937,=,B.638937,Lagothrix sp. CCS-2009a,{same-name & same-rank}
____________NO CHANGE,Brachyteles,A.30593,=,B.30593,Brachyteles,{same-name & same-rank}
______________...,,,,,,2 unchanged children
______NO CHANGE,Catarrhini,A.9526,=,B.9526,Catarrhini,{same-name & same-rank}
________NO CHANGE,Cercopithecoidea,A.314294,=,B.314294,Cercopithecoidea,{same-name & same-rank}
__________NO CHANGE,Cercopithecidae,A.9527,=,B.9527,Cercopithecidae,{same-name & same-rank}
____________NO CHANGE,Cercopithecinae,A.9528,=,B.9528,Cercopithecinae,{same-name & same-rank}
______________NO CHANGE,Cercocebus,A.9529,=,B.9529,Cercocebus,{same-name & same-rank}
________________NO CHANGE,Cercocebus torquatus,A.9530,=,B.9530,Cercocebus torquatus,{same-name & same-rank}
__________________...,,,,,,1 unchanged children
________________NO CHANGE,Cercocebus atys,A.9531,=,B.9531,Cercocebus atys,{same-name & same-rank}
__________________NO CHANGE,Cercocebus atys lunulatus,A.75570,=,B.75570,Cercocebus atys lunulatus,{same-name & same-rank}
__________________GRAFT,,,,B.1592215,Cercocebus atys atys,
________________NO CHANGE,Cercocebus galeritus,A.9532,=,B.9532,Cercocebus galeritus,{same-name & same-rank}
________________NO CHANGE,Cercocebus chrysogaster,A.75569,=,B.75569,Cercocebus chrysogaster,{same-name & same-rank}
________________NO CHANGE,Cercocebus agilis,A.255237,=,B.255237,Cercocebus agilis,{same-name & same-rank}
______________NO CHANGE,Cercopithecus,A.9533,=,B.9533,Cercopithecus,{same-name & same-rank}
________________NO CHANGE,Cercopithecus cephus,A.9535,=,B.9535,Cercopithecus cephus,{same-name & same-rank}
__________________...,,,,,,3 unchanged children
________________NO CHANGE,Cercopithecus hamlyni,A.9536,=,B.9536,Cercopithecus hamlyni,{same-name & same-rank}
__________________...,,,,,,1 unchanged children
________________NO CHANGE,Cercopithecus ascanius,A.36223,=,B.36223,Cercopithecus ascanius,{same-name & same-rank}
__________________...,,,,,,4 unchanged children
________________NO CHANGE,Cercopithecus diana,A.36224,=,B.36224,Cercopithecus diana,{same-name & same-rank}
________________NO CHANGE,Cercopithecus mitis,A.36225,=,B.36225,Cercopithecus mitis,{same-name & same-rank}
__________________...,,,,,,5 unchanged children
________________NO CHANGE,Cercopithecus mona,A.36226,=,B.36226,Cercopithecus mona,{same-name & same-rank}
__________________...,,,,,,2 unchanged children
________________NO CHANGE,Cercopithecus neglectus,A.36227,=,B.36227,Cercopithecus neglectus,{same-name & same-rank}
________________NO CHANGE,Cercopithecus nictitans,A.36228,=,B.36228,Cercopithecus nictitans,{same-name & same-rank}
__________________...,,,,,,2 unchanged children
________________NO CHANGE,Cercopithecus petaurista,A.100487,=,B.100487,Cercopithecus petaurista,{same-name & same-rank}
__________________...,,,,,,2 unchanged children
________________NO CHANGE,Cercopithecus pogonias,A.102108,=,B.102108,Cercopithecus pogonias,{same-name & same-rank}
__________________...,,,,,,4 unchanged children
________________NO CHANGE,Cercopithecus erythrogaster,A.161496,=,B.161496,Cercopithecus erythrogaster,{same-name & same-rank}
__________________...,,,,,,2 unchanged children
________________NO CHANGE,Cercopithecus erythrotis,A.167130,=,B.167130,Cercopithecus erythrotis,{same-name & same-rank}
__________________...,,,,,,2 unchanged children
________________NO CHANGE,Cercopithecus wolfi,A.263448,=,B.263448,Cercopithecus wolfi,{same-name & same-rank}
__________________...,,,,,,3 unchanged children
________________NO CHANGE,Cercopithecus campbelli,A.303588,=,B.303588,Cercopithecus campbelli,{same-name & same-rank}
__________________...,,,,,,1 unchanged children
________________NO CHANGE,Cercopithecus albogularis,A.867370,=,B.867370,Cercopithecus albogularis,{same-name & same-rank}
__________________...,,,,,,7 unchanged children
________________NO CHANGE,Cercopithecus dryas,A.1137048,=,B.1137048,Cercopithecus dryas,{same-name & same-rank}
________________NO CHANGE,Cercopithecus roloway,A.1137049,=,B.1137049,Cercopithecus roloway,{same-name & same-rank}
________________NO CHANGE,Cercopithecus doggetti,A.1137474,=,B.1137474,Cercopithecus doggetti,{same-name & same-rank}
________________NO CHANGE,Cercopithecus kandti,A.1137481,=,B.1137481,Cercopithecus kandti,{same-name & same-rank}
________________NO CHANGE,Cercopithecus denti,A.1137511,=,B.1137511,Cercopithecus denti,{same-name & same-rank}
________________NO CHANGE,Cercopithecus lomamiensis,A.1191211,=,B.1191211,Cercopithecus lomamiensis,{same-name & same-rank}
________________GRAFT,,,,B.1579530,Cercopithecus sclateri,
________________GRAFT,,,,B.2618071,unclassified Cercopithecus,
________________MOVE,Cercopithecus sp. WMS-2012,A.1144881,=,B.1144881,Cercopithecus sp. WMS-2012,{same-name & same-rank}
________________MOVE,Cercopithecus lhoesti,A.100224,=,B.100224,Allochrocebus lhoesti,{same-id & same-rank ...}
________________MOVE,Cercopithecus preussi,A.147649,=,B.147649,Allochrocebus preussi,{same-id & same-rank}
__________________CHANGE NAME,Cercopithecus preussi insularis,A.1137512,=,B.1137512,Allochrocebus preussi insularis,{same-id & same-rank ...}
__________________CHANGE NAME,Cercopithecus preussi preussi,A.1137513,=,B.1137513,Allochrocebus preussi preussi,{same-id & same-rank ...}
________________MOVE,Cercopithecus solatus,A.147650,=,B.147650,Allochrocebus solatus,{same-id & same-rank ...}
______________NO CHANGE,Erythrocebus,A.9537,=,B.9537,Erythrocebus,{same-name & same-rank}
________________...,,,,,,1 unchanged children
______________NO CHANGE,Macaca,A.9539,=,B.9539,Macaca,{same-name & same-rank}
________________NO CHANGE,Macaca arctoides,A.9540,=,B.9540,Macaca arctoides,{same-name & same-rank}
________________NO CHANGE,Macaca fascicularis,A.9541,=,B.9541,Macaca fascicularis,{same-name & same-rank}
__________________NO CHANGE,Macaca fascicularis philippinensis,A.90386,=,B.90386,Macaca fascicularis philippinensis,{same-name & same-rank}
__________________NO CHANGE,Macaca fascicularis fascicularis,A.1215360,=,B.1215360,Macaca fascicularis fascicularis,{same-name & same-rank}
__________________GRAFT,,,,B.1747270,Macaca fascicularis aureus,
________________NO CHANGE,Macaca fuscata,A.9542,=,B.9542,Macaca fuscata,{same-name & same-rank}
__________________...,,,,,,2 unchanged children
________________NO CHANGE,Macaca mulatta,A.9544,=,B.9544,Macaca mulatta,{same-name & same-rank}
__________________NO CHANGE,Macaca mulatta lasiotus,A.1449913,=,B.1449913,Macaca mulatta lasiotus,{same-name & same-rank}
__________________GRAFT,,,,B.1654737,Macaca mulatta brevicaudus,
__________________GRAFT,,,,B.2008792,Macaca mulatta vestita,
________________NO CHANGE,Macaca nemestrina,A.9545,=,B.9545,Macaca nemestrina,{same-name & same-rank}
__________________NO CHANGE,Macaca nemestrina nemestrina,A.90388,=,B.90388,Macaca nemestrina nemestrina,{same-name & same-rank}
__________________MOVE,Macaca nemestrina leonina,A.90387,=,B.90387,Macaca leonina,{same-id & same-name ...}
__________________MOVE,Macaca nemestrina siberu,A.244255,=,B.244255,Macaca siberu,{same-id & same-name ...}
________________NO CHANGE,Macaca sylvanus,A.9546,=,B.9546,Macaca sylvanus,{same-name & same-rank}
________________NO CHANGE,Macaca radiata,A.9548,=,B.9548,Macaca radiata,{same-name & same-rank}
__________________...,,,,,,1 unchanged children
________________NO CHANGE,Macaca assamensis,A.9551,=,B.9551,Macaca assamensis,{same-name & same-rank}
__________________...,,,,,,1 unchanged children
________________NO CHANGE,Macaca sinica,A.9552,=,B.9552,Macaca sinica,{same-name & same-rank}
________________NO CHANGE,Macaca speciosa,A.9553,=,B.9553,Macaca speciosa,{same-name & same-rank}
________________NO CHANGE,Macaca tonkeana,A.40843,=,B.40843,Macaca tonkeana,{same-name & same-rank}
________________NO CHANGE,Macaca nigra,A.54600,=,B.54600,Macaca nigra,{same-name & same-rank}
________________NO CHANGE,Macaca silenus,A.54601,=,B.54601,Macaca silenus,{same-name & same-rank}
________________NO CHANGE,Macaca thibetana,A.54602,=,B.54602,Macaca thibetana,{same-name & same-rank}
__________________...,,,,,,1 unchanged children
________________NO CHANGE,Macaca cyclopis,A.78449,=,B.78449,Macaca cyclopis,{same-name & same-rank}
________________NO CHANGE,Macaca brunnescens,A.90381,=,B.90381,Macaca brunnescens,{same-name & same-rank}
________________NO CHANGE,Macaca hecki,A.90382,=,B.90382,Macaca hecki,{same-name & same-rank}
________________NO CHANGE,Macaca maura,A.90383,=,B.90383,Macaca maura,{same-name & same-rank}
________________NO CHANGE,Macaca nigrescens,A.90384,=,B.90384,Macaca nigrescens,{same-name & same-rank}
________________NO CHANGE,Macaca ochreata,A.90385,=,B.90385,Macaca ochreata,{same-name & same-rank}
________________CHANGE ID,Macaca leonina,A.285350,=,B.90387,Macaca leonina,{same-name & same-rank ...}
________________NO CHANGE,Macaca maura x tonkeana,A.168259,=,B.168259,Macaca maura x tonkeana,{same-name & same-rank}
________________NO CHANGE,Macaca hecki x tonkeana,A.171293,=,B.171293,Macaca hecki x tonkeana,{same-name & same-rank}
________________NO CHANGE,Macaca pagensis,A.230653,=,B.230653,Macaca pagensis,{same-name & same-rank}
________________CHANGE ID,Macaca siberu,A.867378,=,B.244255,Macaca siberu,{same-name & same-rank ...}
________________NO CHANGE,Macaca balantak,A.281404,=,B.281404,Macaca balantak,{same-name & same-rank}
________________NO CHANGE,Macaca balantak x tonkeana,A.281405,=,B.281405,Macaca balantak x tonkeana,{same-name & same-rank}
________________NO CHANGE,Macaca munzala,A.402888,=,B.402888,Macaca munzala,{same-name & same-rank}
________________GRAFT,,,,B.1885588,Macaca leucogenys,
________________GRAFT,,,,B.2623225,unclassified Macaca,
________________MOVE,Macaca sp.,A.9549,=,B.9549,Macaca sp.,{same-name & same-rank}
______________NO CHANGE,Papio,A.9554,=,B.9554,Papio,{same-name & same-rank}
________________NO CHANGE,Papio anubis,A.9555,=,B.9555,Papio anubis,{same-name & same-rank}
__________________...,,,,,,1 unchanged children
________________NO CHANGE,Papio cynocephalus,A.9556,=,B.9556,Papio cynocephalus,{same-name & same-rank}
__________________...,,,,,,2 unchanged children
________________NO CHANGE,Papio hamadryas,A.9557,=,B.9557,Papio hamadryas,{same-name & same-rank}
__________________...,,,,,,1 unchanged children
________________NO CHANGE,Papio ursinus,A.36229,=,B.36229,Papio ursinus,{same-name & same-rank}
__________________NO CHANGE,Papio ursinus ursinus,A.208089,=,B.208089,Papio ursinus ursinus,{same-name & same-rank}
__________________GRAFT,,,,B.208090,Papio ursinus griseipes,
________________NO CHANGE,Papio papio,A.100937,=,B.100937,Papio papio,{same-name & same-rank}
________________NO CHANGE,Papio kindae,A.208091,=,B.208091,Papio kindae,{same-name & same-rank}
________________NO CHANGE,Papio cynocephalus x Papio anubis,A.208510,=,B.208510,Papio cynocephalus x Papio anubis,{same-name & same-rank}
________________NO CHANGE,Papio anubis x hamadryas,A.1560552,=,B.1560552,Papio anubis x hamadryas,{same-name & same-rank}
________________GRAFT,,,,B.1945556,Papio anubis x Papio cynocephalus,
________________GRAFT,,,,B.1945557,Papio anubis x Papio ursinus,
________________GRAFT,,,,B.1945558,Papio kindae x Papio cynocephalus,
________________GRAFT,,,,B.1945559,Papio kindae x Papio ursinus griseipes,
________________GRAFT,,,,B.2632072,unclassified Papio,
________________MOVE,Papio sp.,A.61183,=,B.61183,Papio sp.,{same-name & same-rank}
________________MOVE,Papio sp. Africa-2004,A.285280,=,B.285280,Papio sp. Africa-2004,{same-name & same-rank}
________________MOVE,Papio sp. PS-2007,A.425246,=,B.425246,Papio sp. PS-2007,{same-name & same-rank}
______________NO CHANGE,Theropithecus,A.9564,=,B.9564,Theropithecus,{same-name & same-rank}
________________...,,,,,,1 unchanged children
______________NO CHANGE,Mandrillus,A.9567,=,B.9567,Mandrillus,{same-name & same-rank}
________________...,,,,,,2 unchanged children
______________NO CHANGE,Miopithecus,A.36230,=,B.36230,Miopithecus,{same-name & same-rank}
________________...,,,,,,3 unchanged children
______________NO CHANGE,Allenopithecus,A.54134,=,B.54134,Allenopithecus,{same-name & same-rank}
________________...,,,,,,1 unchanged children
______________NO CHANGE,Lophocebus,A.75565,=,B.75565,Lophocebus,{same-name & same-rank}
________________...,,,,,,3 unchanged children
______________NO CHANGE,Rungwecebus,A.371038,=,B.371038,Rungwecebus,{same-name & same-rank}
________________...,,,,,,1 unchanged children
______________NO CHANGE,Chlorocebus,A.392815,=,B.392815,Chlorocebus,{same-name & same-rank}
________________NO CHANGE,Chlorocebus aethiops,A.9534,=,B.9534,Chlorocebus aethiops,{same-name & same-rank}
__________________...,,,,,,2 unchanged children
________________NO CHANGE,Chlorocebus pygerythrus,A.60710,=,B.60710,Chlorocebus pygerythrus,{same-name & same-rank}
__________________NO CHANGE,Chlorocebus pygerythrus pygerythrus,A.460674,=,B.460674,Chlorocebus pygerythrus pygerythrus,{same-name & same-rank}
__________________NO CHANGE,Chlorocebus pygerythrus hilgerti,A.508712,=,B.508712,Chlorocebus pygerythrus hilgerti,{same-name & same-rank}
__________________GRAFT,,,,B.2269071,Chlorocebus pygerythrus x Chlorocebus aethiops,
________________NO CHANGE,Chlorocebus sabaeus,A.60711,=,B.60711,Chlorocebus sabaeus,{same-name & same-rank}
________________NO CHANGE,Chlorocebus tantalus,A.60712,=,B.60712,Chlorocebus tantalus,{same-name & same-rank}
__________________...,,,,,,1 unchanged children
________________NO CHANGE,Chlorocebus cynosuros,A.460675,=,B.460675,Chlorocebus cynosuros,{same-name & same-rank}
________________NO CHANGE,Chlorocebus djamdjamensis,A.1284215,=,B.1284215,Chlorocebus djamdjamensis,{same-name & same-rank}
________________GRAFT,,,,B.1476079,Chlorocebus aethiops x djamdjamensis,
________________GRAFT,,,,B.1903316,Chlorocebus aethiops x Chlorocebus pygerythrus,
________________GRAFT,,,,B.2685534,unclassified Chlorocebus,
________________MOVE,Chlorocebus sp. MAS-2011,A.1090918,=,B.1090918,Chlorocebus sp. MAS-2011,{same-name & same-rank}
________________MOVE,Chlorocebus sp. TH-2013,A.1284216,=,B.1284216,Chlorocebus sp. TH-2013,{same-name & same-rank}
______________GRAFT,,,,B.2059839,Allochrocebus,
____________NO CHANGE,Colobinae,A.9569,=,B.9569,Colobinae,{same-name & same-rank}
______________NO CHANGE,Colobus,A.9570,=,B.9570,Colobus,{same-name & same-rank}
________________NO CHANGE,Colobus polykomos,A.9572,=,B.9572,Colobus polykomos,{same-name & same-rank}
________________NO CHANGE,Colobus guereza,A.33548,=,B.33548,Colobus guereza,{same-name & same-rank}
__________________...,,,,,,4 unchanged children
________________NO CHANGE,Colobus angolensis,A.54131,=,B.54131,Colobus angolensis,{same-name & same-rank}
__________________...,,,,,,1 unchanged children
________________NO CHANGE,Colobus vellerosus,A.378195,=,B.378195,Colobus vellerosus,{same-name & same-rank}
________________NO CHANGE,Colobus vellerosus x angolensis,A.378196,=,B.378196,Colobus vellerosus x angolensis,{same-name & same-rank}
